"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	11	6	4	5	3	7	3	11	4	2	2	1	7	10	3	4	10	10	6	2
"A_51_P172409"	3	5	2	8	2	6	11	9	6	5	11	7	11	4	1	11	6	9	3	10
"A_51_P188401"	3	11	2	4	6	6	4	9	8	8	11	7	9	2	8	10	2	4	3	10
"A_51_P191274"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"A_51_P226791"	5	11	9	10	1	1	4	10	8	3	3	9	3	2	8	10	5	6	5	6
"A_51_P277048"	3	5	2	4	6	6	2	9	6	8	11	7	9	3	1	11	2	4	3	10
"A_51_P305453"	9	5	9	4	5	9	7	9	6	8	1	7	9	3	5	11	2	1	3	1
"A_51_P326259"	9	5	9	8	5	9	7	1	3	5	1	5	11	3	5	7	6	9	7	1
"A_51_P327496"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"A_51_P350172"	8	4	11	3	4	10	2	4	10	6	2	6	2	11	2	8	3	2	10	9
"A_51_P426986"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"A_51_P515046"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"A_52_P1021224"	9	11	9	10	11	1	4	8	8	3	3	5	3	2	8	3	11	1	5	1
"A_52_P1053094"	3	5	2	4	6	6	7	9	6	8	11	7	9	3	5	11	2	4	3	10
"A_52_P1053662"	3	5	2	4	6	6	7	9	6	8	11	7	9	3	5	11	2	4	3	10
"A_52_P1101503"	9	5	9	10	5	9	7	8	7	8	1	5	3	3	5	3	2	1	7	1
"A_52_P1173798"	9	5	9	4	5	9	7	8	7	8	1	5	9	3	5	3	2	1	7	1
"A_52_P1197466"	4	9	1	5	2	8	11	1	3	2	6	11	4	4	1	7	6	9	1	4
"A_52_P13337"	3	5	2	4	6	6	7	9	6	8	11	7	9	3	5	11	2	4	3	10
"A_52_P362072"	8	4	7	3	4	10	2	3	10	6	8	6	2	11	2	10	3	2	10	9
"A_52_P477386"	3	5	2	4	6	6	2	9	6	8	11	7	9	11	2	11	2	4	3	10
"A_52_P541760"	11	2	11	7	4	7	3	4	10	4	2	1	8	10	3	4	9	10	2	2
"A_52_P549754"	11	2	1	7	2	7	11	1	4	10	6	11	8	6	1	7	10	9	2	4
"A_52_P724603"	5	11	5	6	1	1	4	10	8	3	10	9	6	2	8	10	5	6	5	11
"A_52_P771912"	2	3	8	1	7	11	10	2	2	9	3	8	5	5	11	5	11	8	4	8
"A_52_P812870"	4	9	1	2	2	8	11	1	9	2	6	11	11	4	1	1	6	9	1	4
"A_52_P820445"	3	5	2	4	6	6	7	9	6	8	11	7	9	3	5	11	2	4	3	10
"A_52_P852771"	3	5	2	4	6	6	7	9	6	8	11	7	9	3	5	11	2	4	3	10
"A_52_P868798"	9	5	9	4	5	9	7	8	7	8	1	5	3	3	5	3	2	1	7	1
"A_52_P956633"	11	2	11	7	2	7	5	4	4	10	5	3	8	6	9	4	8	11	2	5
"A_52_P981301"	3	5	2	7	6	6	3	9	6	8	11	7	9	10	3	11	9	4	3	10
"A_52_P988778"	9	1	9	10	5	9	7	8	7	8	1	5	3	3	5	3	2	1	7	1
"A_52_P996776"	6	2	3	3	2	2	5	9	10	10	5	3	11	6	9	11	8	2	9	5
"AA204140"	9	1	9	4	5	9	7	8	7	8	1	5	11	7	7	3	2	1	7	1
"AB008911"	9	2	3	10	5	2	5	8	7	10	1	5	3	6	9	3	8	1	9	5
"AB010313"	7	8	6	9	10	5	8	5	11	11	9	2	1	1	6	6	4	7	9	6
"AB010342"	9	1	1	8	2	9	11	1	3	5	6	11	11	4	1	7	6	9	7	4
"AB011473"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AB099518"	10	10	4	2	3	3	9	7	9	1	4	1	7	9	3	1	7	5	6	3
"AF009414"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AF012177"	2	3	8	1	11	11	10	2	2	9	3	4	5	8	4	2	11	8	4	8
"AF027185"	9	5	9	4	5	9	7	8	7	8	1	5	9	3	5	3	2	1	7	1
"AF039833"	9	4	9	3	4	10	2	3	10	8	11	7	2	2	2	8	2	2	7	1
"AF062752"	3	5	2	4	6	6	7	9	6	8	11	7	9	3	5	11	2	4	3	10
"AF064984"	4	9	1	5	2	8	1	11	5	2	8	11	4	4	1	10	10	10	1	10
"AF065991"	2	11	8	10	11	11	10	2	8	9	3	4	3	8	4	2	11	8	5	8
"AF081193"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AF097415"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	10	2	2
"AF103797"	6	2	3	3	4	2	5	3	10	10	5	3	2	6	9	8	8	2	9	5
"AF124721"	11	6	11	7	3	7	3	4	10	4	2	1	8	10	3	4	9	11	2	2
"AF127140.1"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AF129738"	5	3	5	10	11	11	4	10	2	9	10	9	3	8	4	2	5	8	5	8
"AF139595"	9	5	9	4	5	9	7	9	6	8	1	7	9	3	5	11	2	1	3	1
"AF180471"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AF198092"	8	4	7	5	4	10	1	11	5	2	8	6	2	2	2	10	3	10	10	9
"AF210281"	11	2	11	3	4	10	2	4	10	10	2	3	2	6	9	8	8	2	2	5
"AF217545"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AF223362"	3	5	2	4	6	6	1	9	6	8	11	7	9	11	3	11	2	4	3	10
"AF275549"	5	1	5	11	8	1	6	10	1	7	10	9	10	7	7	9	1	6	11	11
"AF346836"	5	1	5	10	8	4	4	10	1	7	10	8	3	7	7	9	5	6	11	11
"AF425084"	9	1	9	8	5	9	7	1	3	5	6	5	11	7	7	7	6	9	7	1
"AF441786"	4	9	1	5	2	8	11	7	9	2	6	11	4	4	1	1	7	5	1	4
"AF464177"	3	5	2	4	6	6	2	9	6	8	11	7	9	11	5	11	2	4	3	10
"AF510652"	7	8	6	10	10	5	8	5	7	11	9	2	3	1	6	6	5	7	5	6
"AI509818"	9	1	3	8	2	9	11	1	3	5	6	11	11	6	9	7	6	9	9	4
"AI840334"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AJ278768"	5	11	5	10	11	1	4	10	8	3	10	9	6	2	8	2	5	6	5	11
"AJ293727"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AJ558021"	9	2	3	10	5	9	5	8	7	10	5	5	3	6	9	3	8	1	9	5
"AK002213"	11	4	11	3	4	10	2	3	10	6	2	6	2	11	2	8	3	2	10	9
"AK002217"	9	5	9	4	5	9	7	8	7	8	1	5	9	3	5	3	2	1	7	1
"AK002608"	3	5	2	4	6	6	2	9	6	8	11	7	9	4	1	11	2	4	3	10
"AK003142"	8	4	2	3	4	6	2	9	10	6	11	7	2	11	2	8	3	2	10	10
"AK003738"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	10	10	2	2
"AK003760"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	10	11	2	2
"AK003941"	9	1	9	8	1	5	8	1	3	5	6	5	11	7	7	7	6	7	7	1
"AK004056"	11	6	11	7	3	7	3	4	5	4	2	1	8	10	3	4	10	10	2	2
"AK004226.7"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AK004418"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	10	10	2	2
"AK004568"	9	1	9	10	5	9	8	8	7	11	1	5	3	1	7	3	5	1	7	1
"AK004622"	5	1	5	10	1	1	4	10	8	3	10	9	3	7	7	9	5	6	5	11
"AK005150"	11	9	11	5	3	7	1	11	5	2	2	10	4	9	3	4	10	10	6	2
"AK005220"	9	11	9	10	5	9	4	8	7	3	1	5	3	2	8	3	5	6	7	1
"AK005583"	5	7	5	6	8	1	4	10	8	3	7	9	6	5	11	9	5	6	5	11
"AK005750"	3	5	2	4	6	6	7	9	7	8	11	7	9	2	8	11	2	4	3	10
"AK005796"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AK006020"	9	5	9	4	5	9	7	8	7	8	1	5	9	3	5	3	2	1	7	1
"AK006583"	3	5	2	4	6	6	7	9	6	8	11	7	9	2	9	11	2	4	3	10
"AK006636"	5	11	8	10	11	1	4	10	8	3	3	9	3	2	8	2	5	6	5	8
"AK006817"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AK006823"	9	1	9	10	5	9	4	8	7	3	10	5	3	7	7	3	5	1	7	1
"AK007019"	5	7	5	11	8	1	6	10	1	7	10	9	10	5	11	9	1	6	11	11
"AK007209"	2	3	8	1	11	11	10	2	2	9	3	4	5	8	4	2	11	8	4	8
"AK007316"	3	5	2	4	6	6	7	9	6	8	11	7	9	2	5	11	2	4	3	10
"AK007368"	8	11	7	3	11	10	4	3	8	3	8	6	2	2	8	2	3	2	5	9
"AK007371"	5	7	5	6	8	1	4	10	1	3	10	9	6	7	7	9	5	6	11	11
"AK007637"	2	3	8	1	7	11	10	2	2	9	7	8	5	5	11	5	11	8	4	8
"AK007812"	5	11	6	10	11	1	4	10	8	3	9	9	3	2	8	2	5	6	5	6
"AK008026"	5	3	5	10	11	1	4	10	8	3	10	9	3	8	4	2	5	6	5	8
"AK008330"	7	11	6	10	11	1	4	10	8	3	9	5	3	1	6	2	5	6	5	6
"AK008545"	9	5	9	4	5	9	7	8	7	8	1	5	9	3	5	3	2	1	7	1
"AK008598"	9	8	6	9	1	5	8	10	7	11	9	5	3	1	6	6	5	7	8	6
"AK008679"	5	11	7	10	1	1	4	10	8	3	9	9	3	2	8	10	5	6	5	6
"AK008770"	6	2	11	3	4	10	2	4	10	10	8	3	2	6	9	8	8	2	9	5
"AK008862"	5	7	5	6	8	1	6	10	1	7	7	9	10	5	11	9	1	6	11	11
"AK008869"	5	11	8	6	11	1	4	10	8	3	3	9	6	2	8	2	5	6	5	8
"AK008898"	5	1	5	6	1	1	4	10	8	3	10	9	6	2	8	10	5	6	5	11
"AK009140"	4	9	1	2	2	7	11	7	4	4	6	1	7	4	1	4	10	10	6	4
"AK009216"	7	8	6	9	10	5	8	5	11	11	9	2	1	1	6	6	4	7	8	6
"AK009586"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AK009638"	3	9	2	5	6	6	1	9	6	2	11	7	9	9	1	11	10	4	3	10
"AK009740"	11	9	1	5	2	7	3	11	5	2	2	1	8	4	1	4	10	10	2	2
"AK010233"	8	4	7	3	4	10	2	3	10	6	8	6	2	11	2	8	3	2	10	9
"AK010610"	4	5	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	3	4
"AK010630"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AK010841"	5	11	8	6	11	1	4	10	8	3	3	9	6	2	8	2	5	6	5	8
"AK011275"	4	9	1	8	2	8	11	1	3	5	6	11	11	4	1	7	6	9	1	4
"AK011656"	7	11	6	10	10	5	4	5	8	3	9	2	3	1	6	6	4	7	8	6
"AK011675"	11	6	11	7	3	7	3	4	4	4	2	1	8	10	3	4	9	11	2	2
"AK011730"	5	3	5	1	7	1	4	10	8	9	3	9	5	8	4	2	11	6	5	8
"AK011739"	2	3	8	10	11	11	10	2	2	9	3	4	3	8	4	2	11	8	4	8
"AK011948"	4	9	1	5	2	8	11	11	5	2	6	11	4	4	1	6	10	10	1	4
"AK012459"	8	11	7	6	1	1	1	10	8	3	8	9	6	2	8	10	5	6	10	9
"AK012892"	7	8	6	9	10	5	8	5	11	11	9	2	1	1	6	6	4	7	8	6
"AK013060"	4	1	1	8	2	8	11	1	3	5	6	11	11	7	7	7	6	7	1	4
"AK013113"	2	11	8	6	11	11	4	2	8	3	3	9	6	8	8	2	11	8	5	8
"AK013208"	4	9	1	5	2	8	11	1	9	2	6	11	4	4	1	7	10	10	1	4
"AK013289"	3	11	2	6	6	1	4	3	8	3	8	9	6	2	8	10	5	6	5	10
"AK013342"	7	2	3	9	1	1	5	10	5	3	9	9	1	2	9	10	5	10	1	6
"AK013354"	8	4	7	3	4	10	1	11	5	6	8	6	2	11	2	10	3	2	10	9
"AK013390"	9	5	9	4	5	9	7	8	7	8	1	5	3	3	5	3	2	1	7	1
"AK013537"	2	3	8	1	11	11	10	2	2	9	3	4	5	8	4	2	11	8	4	8
"AK013545"	4	2	3	8	2	8	11	1	3	10	5	3	11	6	9	7	8	9	9	4
"AK013604"	2	11	8	10	11	11	10	2	8	9	3	4	3	8	4	2	11	8	5	8
"AK013614"	7	1	3	10	10	5	8	5	11	11	10	2	3	7	7	6	8	7	9	5
"AK013634"	4	9	1	5	9	8	11	7	9	2	6	11	4	4	1	1	7	5	1	4
"AK013702"	8	4	7	3	4	10	1	3	10	6	8	6	2	11	2	8	3	2	10	9
"AK013704"	2	11	8	10	11	11	4	2	8	3	3	4	3	8	4	2	11	8	5	8
"AK013749"	5	1	1	6	1	1	4	10	3	3	6	9	6	2	7	10	5	6	1	4
"AK013809"	9	1	3	10	1	1	4	10	7	3	5	5	3	2	9	10	5	6	9	5
"AK013859"	11	6	11	5	3	7	3	4	5	2	2	1	8	10	3	4	10	10	2	2
"AK014075"	3	5	6	4	10	5	8	5	11	11	11	2	1	1	6	6	2	7	3	10
"AK014260"	9	1	3	8	5	9	7	8	7	8	1	5	11	7	9	3	6	1	9	1
"AK014401"	7	11	6	10	11	1	4	5	8	3	9	9	3	2	8	6	4	6	5	6
"AK014541"	5	11	5	6	1	1	4	10	8	3	10	9	6	2	8	10	5	6	5	11
"AK014593"	5	11	8	10	11	1	4	10	8	3	3	9	6	8	8	2	5	6	5	8
"AK014656"	9	5	9	4	5	9	7	8	7	8	1	5	3	3	5	3	2	1	7	1
"AK014662"	8	4	7	3	4	10	2	3	10	6	8	6	2	11	2	8	3	2	10	9
"AK014695"	4	2	3	9	2	8	5	1	11	10	6	3	1	6	9	6	8	9	9	4
"AK014745"	7	8	6	9	10	5	8	5	11	11	9	2	1	1	6	6	4	7	8	6
"AK014937"	9	11	9	10	5	9	7	8	7	8	1	5	3	3	5	3	2	1	7	1
"AK015010"	2	11	8	6	11	1	4	2	8	3	3	9	6	2	8	2	11	6	5	8
