"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AA204140"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AB008911"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AB010313"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AB010342"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AB011473"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AB099518"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF009414"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF012177"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF027185"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF039833"	2	2	1	1	1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF062752"	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	2	1	1	1	2	1	1	1	2
"AF064984"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF065991"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF081193"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF097415"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF103797"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF124721"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF127140.1"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF129738"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF139595"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF180471"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF198092"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF210281"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF217545"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF223362"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF275549"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF346836"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF425084"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AF441786"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF464177"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AF510652"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AI509818"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AI840334"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AJ278768"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AJ293727"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AJ558021"	2	2	2	1	1	1	2	2	2	1	2	1	2	2	2	2	2	2	1	1	2	1	2	2	1
"AK002213"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AK002217"	2	2	2	1	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1
"AK002608"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AK003142"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
"AK003738"	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2
