"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	9	10	12	7	12	10	9	6	6	1	10	3	1	2	8	5	12	4	3	2
"A_51_P172409"	11	8	4	3	10	5	2	12	9	3	8	7	5	9	10	4	2	11	6	6
"A_51_P188401"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	9	4	9	1	6	6
"A_51_P191274"	11	1	8	2	12	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
"A_51_P226791"	12	9	3	9	5	9	6	8	8	5	2	11	6	3	9	2	4	7	8	5
"A_51_P277048"	1	8	4	3	10	5	2	12	9	7	8	7	5	9	10	4	9	1	6	6
"A_51_P305453"	1	4	2	3	10	5	2	12	10	7	6	7	11	9	10	10	9	8	11	12
"A_51_P326259"	11	4	2	2	1	7	8	7	2	3	3	1	5	8	3	10	2	11	11	12
"A_51_P327496"	11	1	8	2	3	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
"A_51_P350172"	5	5	10	8	2	2	12	9	3	6	9	12	8	6	11	11	11	12	10	2
"A_51_P426986"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"A_51_P515046"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"A_52_P1021224"	12	9	3	9	5	4	10	1	8	5	2	9	6	3	9	2	4	7	8	5
"A_52_P1053094"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"A_52_P1053662"	1	8	4	3	10	5	2	12	9	7	8	7	11	9	10	10	9	1	6	6
"A_52_P1101503"	12	4	2	9	1	4	10	1	10	5	6	9	11	8	5	10	9	8	11	12
"A_52_P1173798"	1	4	2	3	1	4	10	1	10	7	6	9	11	8	10	10	9	8	11	12
"A_52_P1197466"	9	1	8	6	12	10	8	7	2	1	3	3	1	4	3	12	2	11	1	7
"A_52_P13337"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"A_52_P362072"	5	5	10	1	2	2	12	11	3	4	5	12	8	6	11	9	11	6	5	11
"A_52_P477386"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"A_52_P541760"	6	10	12	1	4	6	9	9	3	6	9	10	9	2	8	11	1	12	10	2
"A_52_P549754"	4	6	8	1	12	6	8	3	2	10	3	6	9	5	8	7	1	11	10	2
"A_52_P724603"	7	11	5	5	5	9	1	8	1	9	4	11	7	7	2	8	3	3	7	8
"A_52_P771912"	12	2	3	9	8	11	7	5	7	5	2	9	6	1	12	2	4	7	9	5
"A_52_P812870"	9	1	8	6	12	10	8	7	11	8	3	3	5	4	3	12	2	11	1	7
"A_52_P820445"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"A_52_P852771"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"A_52_P868798"	1	4	2	3	1	4	10	1	10	7	6	9	11	8	5	10	9	8	11	12
"A_52_P956633"	4	6	1	1	4	8	4	3	3	10	9	6	9	5	4	7	1	12	10	2
"A_52_P981301"	1	8	4	7	10	5	2	12	9	7	8	7	4	9	10	4	7	1	6	6
"A_52_P988778"	1	4	2	9	1	4	10	1	10	3	6	9	11	8	5	10	9	8	11	12
"A_52_P996776"	4	6	1	1	4	8	6	3	2	10	9	6	5	5	4	7	1	12	4	10
"AA204140"	1	4	2	2	1	4	10	1	10	3	6	9	11	7	5	10	9	8	11	12
"AB008911"	12	4	2	9	1	4	10	3	10	5	6	6	3	8	5	7	4	8	4	10
"AB010313"	3	3	9	11	11	1	5	4	4	12	1	5	3	10	1	6	5	9	2	4
"AB010342"	11	4	8	2	3	7	8	7	2	3	3	1	5	4	3	10	2	11	11	12
"AB011473"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AB099518"	8	12	7	12	6	3	11	2	11	8	11	8	2	11	8	5	6	4	3	1
"AF009414"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	3	2
"AF012177"	12	9	3	10	8	11	7	5	7	5	12	4	6	1	12	2	4	5	8	5
"AF027185"	1	4	2	3	1	4	10	1	10	7	6	9	11	8	10	10	9	8	11	12
"AF039833"	1	4	4	3	10	2	6	11	9	7	9	7	8	9	10	10	9	12	11	12
"AF062752"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"AF064984"	9	8	8	6	2	10	9	6	5	1	5	3	1	4	4	4	11	6	1	11
"AF065991"	12	9	3	9	5	11	7	5	8	5	2	4	6	3	9	2	4	7	8	5
"AF081193"	11	1	8	2	3	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
"AF097415"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AF103797"	4	6	1	1	4	8	6	3	3	10	9	6	5	5	4	7	1	12	4	10
"AF124721"	6	10	12	7	7	6	4	9	3	6	10	10	9	2	8	11	1	12	10	2
"AF127140.1"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AF129738"	12	2	3	9	5	11	7	5	7	5	2	4	6	3	12	2	4	7	9	8
"AF139595"	1	4	2	3	10	5	2	12	10	7	6	7	11	9	10	10	9	8	11	12
"AF180471"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AF198092"	5	5	10	8	2	2	12	11	5	4	5	12	8	6	11	9	11	6	5	11
"AF210281"	6	6	1	1	4	8	12	3	3	10	9	6	8	5	4	7	1	12	10	2
"AF217545"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	3	2
"AF223362"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"AF275549"	2	7	5	4	9	12	3	1	12	11	4	2	10	7	5	8	8	3	7	8
"AF346836"	12	7	5	9	9	12	3	8	1	5	4	2	10	7	5	8	8	3	7	8
"AF425084"	11	4	2	2	3	7	10	7	2	3	3	1	5	7	3	10	2	11	11	12
"AF441786"	9	1	8	6	12	10	11	6	11	1	11	3	1	4	6	12	12	10	1	7
"AF464177"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"AF510652"	12	3	9	9	11	1	10	4	4	12	4	5	3	10	5	6	5	9	7	4
"AI509818"	11	4	8	2	3	7	8	7	2	3	3	1	5	4	3	7	2	11	11	12
"AI840334"	11	1	8	2	3	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
"AJ278768"	12	9	3	9	5	9	1	8	8	5	2	11	6	3	9	2	4	7	8	5
"AJ293727"	11	4	8	2	3	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
"AJ558021"	1	4	1	1	4	8	10	3	10	10	6	6	5	5	5	7	1	8	4	10
"AK002213"	5	5	12	8	2	2	12	9	3	6	9	12	8	6	11	11	7	12	10	2
"AK002217"	1	4	2	3	1	4	10	1	10	7	6	9	11	8	10	10	9	8	11	12
"AK002608"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"AK003142"	1	5	4	3	10	5	12	12	3	7	9	7	8	9	11	9	9	12	6	6
"AK003738"	6	10	12	7	12	6	4	9	6	6	10	10	9	2	8	11	12	4	10	2
"AK003760"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AK003941"	11	11	5	2	3	7	10	7	1	3	4	1	5	7	5	8	2	11	7	8
"AK004056"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AK004226.7"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AK004418"	6	10	12	7	7	6	4	9	6	6	10	10	9	2	8	11	7	4	10	2
"AK004568"	12	4	2	9	1	4	10	1	1	5	4	9	11	8	5	10	4	8	11	12
"AK004622"	12	11	5	9	5	9	1	8	1	5	4	11	10	7	5	8	8	3	7	8
"AK005150"	9	1	12	6	12	10	9	6	5	1	10	3	1	4	6	12	12	4	1	1
"AK005220"	12	4	2	9	5	4	10	1	10	5	2	11	6	3	5	10	4	7	11	12
"AK005583"	7	7	11	5	5	9	1	8	12	9	7	11	7	12	7	3	3	3	12	9
"AK005750"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	5	4	9	1	6	6
"AK005796"	11	1	8	2	12	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
"AK006020"	1	4	2	3	1	4	10	1	10	7	6	9	11	8	10	10	9	8	11	12
"AK006583"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	4	4	9	1	6	6
"AK006636"	12	9	3	9	5	9	6	5	8	5	2	11	6	3	9	2	4	7	8	5
"AK006817"	11	1	8	2	3	7	8	7	2	3	3	1	5	4	3	7	2	11	1	7
"AK006823"	12	4	5	9	1	4	10	1	1	5	4	9	7	7	5	8	3	3	7	8
"AK007019"	2	7	11	4	9	9	1	8	12	11	7	2	10	12	7	8	3	3	12	8
"AK007209"	12	9	3	10	8	11	7	5	7	5	2	4	6	1	12	2	4	7	8	5
"AK007316"	1	8	4	3	10	5	2	12	9	7	8	7	4	9	10	4	9	1	6	6
"AK007368"	12	9	3	8	5	2	6	11	8	4	2	11	6	3	9	2	11	7	8	5
"AK007371"	7	7	5	5	9	9	1	8	12	11	4	11	10	7	7	8	8	3	7	8
"AK007637"	10	2	6	10	8	11	7	5	7	2	12	4	12	1	12	1	10	5	9	3
"AK007812"	12	9	3	9	5	9	6	8	8	5	2	11	6	3	9	2	4	7	8	5
"AK008026"	12	9	5	9	5	9	7	8	7	5	2	11	6	3	9	2	4	7	8	5
"AK008330"	12	9	3	9	5	9	5	5	8	5	2	11	6	3	9	2	4	7	8	5
"AK008545"	1	4	2	3	1	4	10	1	10	7	6	9	11	8	10	10	9	8	11	12
"AK008598"	3	11	5	11	11	1	10	8	1	9	4	5	7	7	2	8	3	9	7	8
"AK008679"	12	9	3	9	5	9	6	11	8	5	2	11	6	3	9	2	4	7	8	5
"AK008770"	5	6	10	1	4	2	6	3	3	10	9	6	8	6	4	7	1	12	10	11
"AK008862"	2	7	11	5	9	9	1	8	12	11	7	2	10	12	7	3	3	3	12	9
"AK008869"	12	9	3	5	5	9	1	8	8	5	2	11	6	3	9	2	4	7	8	5
"AK008898"	7	11	5	5	5	9	1	8	1	9	5	11	7	7	2	8	3	6	7	8
"AK009140"	8	1	8	12	12	10	4	6	6	8	10	3	2	4	8	12	12	4	1	7
"AK009216"	3	3	9	11	11	1	5	4	4	12	1	5	3	10	1	6	5	9	2	4
"AK009586"	11	1	8	2	3	7	8	7	2	3	3	1	5	4	3	12	2	11	1	7
