"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	13	6	10	3	15	10	8	14	1	6	3	5	14	11	1	14	2	14	2	13
"A_51_P172409"	2	12	9	5	8	14	4	2	6	10	5	9	3	14	14	6	9	6	5	12
"A_51_P188401"	5	9	9	7	12	14	4	10	6	9	5	9	10	10	4	4	6	2	3	4
"A_51_P191274"	2	12	4	12	8	15	9	5	9	10	15	12	3	1	14	6	9	6	5	12
"A_51_P226791"	10	2	5	7	12	11	12	10	11	4	8	4	11	10	13	9	7	2	11	5
"A_51_P277048"	15	10	9	5	13	14	4	9	6	2	9	9	15	14	8	6	13	5	3	14
"A_51_P305453"	7	3	7	5	5	14	4	2	10	5	6	9	2	14	2	6	8	3	6	12
"A_51_P326259"	2	12	4	12	8	15	9	5	9	10	15	12	3	1	14	6	9	6	5	12
"A_51_P327496"	2	12	4	12	8	15	9	5	9	10	15	12	14	1	14	2	9	6	5	12
"A_51_P350172"	15	10	6	13	13	8	3	7	15	2	9	13	15	5	8	7	13	7	13	14
"A_51_P426986"	14	10	10	11	13	10	8	9	12	6	12	14	15	11	10	14	13	14	4	7
"A_51_P515046"	1	15	10	11	2	10	8	14	12	6	12	14	5	11	10	14	2	14	4	7
"A_52_P1021224"	10	2	7	9	12	11	12	11	11	4	8	8	11	3	13	10	7	3	11	11
"A_52_P1053094"	5	9	9	5	11	14	4	2	6	9	5	9	10	14	4	5	6	9	3	4
"A_52_P1053662"	7	9	9	5	11	14	4	2	6	5	6	9	2	14	4	5	8	9	3	4
"A_52_P1101503"	10	3	5	9	5	3	14	11	10	5	6	8	11	3	2	10	14	3	6	11
"A_52_P1173798"	7	3	7	9	5	3	14	11	10	5	6	8	2	3	2	10	8	3	6	11
"A_52_P1197466"	13	12	12	3	15	15	9	5	9	3	15	5	14	1	14	2	9	8	2	13
"A_52_P13337"	5	9	9	5	11	14	4	2	6	9	5	9	10	14	4	5	6	9	3	4
"A_52_P362072"	3	14	11	13	9	12	15	7	13	7	11	6	12	12	11	4	11	7	12	3
"A_52_P477386"	5	9	9	5	11	14	4	2	6	9	5	9	10	14	4	5	6	9	3	4
"A_52_P541760"	1	10	6	13	9	6	3	14	1	1	9	13	15	9	8	7	13	7	13	7
"A_52_P549754"	15	10	4	15	13	8	3	9	15	2	9	5	15	1	8	15	13	5	10	14
"A_52_P724603"	6	11	8	10	12	4	6	1	4	15	4	1	1	10	9	1	7	4	1	10
"A_52_P771912"	4	5	1	6	6	2	10	15	11	4	8	7	6	2	13	11	4	11	7	9
"A_52_P812870"	2	12	4	5	15	10	3	9	9	3	15	5	15	1	14	6	13	5	5	12
"A_52_P820445"	5	9	9	5	11	14	4	2	6	9	5	9	10	14	4	5	6	9	3	4
"A_52_P852771"	5	9	9	5	11	14	4	2	6	9	5	9	10	14	4	5	6	9	3	4
"A_52_P868798"	7	3	7	9	5	3	14	11	10	5	6	8	2	3	2	10	8	3	6	11
"A_52_P956633"	8	8	2	15	13	6	2	9	3	8	9	11	9	9	3	15	13	12	8	2
"A_52_P981301"	5	9	9	5	11	14	4	2	6	9	5	9	10	14	4	5	13	9	3	4
"A_52_P988778"	7	3	7	9	5	3	14	11	10	5	6	8	2	3	2	10	14	3	6	11
"A_52_P996776"	8	8	2	15	10	5	2	6	3	8	7	11	9	9	3	15	5	12	8	2
"AA204140"	7	3	7	9	5	3	14	11	10	5	6	8	7	4	2	10	8	3	6	11
