"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AK006020"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK006583"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK006636"	2	13	9	15	5	5	13	2	5	5	16	5	8	1	15	2	12	2	16	3	5	11	12	6	1
"AK006817"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AK006823"	6	4	15	11	10	2	13	15	5	6	3	10	2	2	16	13	7	14	4	1	10	5	4	9	1
"AK007019"	9	7	11	9	14	10	14	9	14	7	1	2	3	4	1	11	1	6	4	1	1	7	4	5	6
"AK007209"	2	13	9	7	5	4	16	2	3	10	8	7	7	1	4	12	3	2	8	15	7	11	12	12	14
"AK007316"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK007368"	2	16	6	16	5	5	11	2	3	3	8	5	8	1	15	14	10	2	10	7	9	11	12	6	9
"AK007371"	6	7	6	11	14	9	14	9	14	6	15	10	3	16	16	13	7	6	4	1	1	5	4	5	6
"AK007637"	16	14	2	7	13	4	16	8	2	12	4	7	7	10	5	9	3	5	2	15	7	12	5	12	10
"AK007812"	2	16	9	15	5	5	11	2	5	5	16	5	2	1	15	2	12	2	10	3	5	11	12	6	1
"AK008026"	2	11	9	15	5	2	13	2	5	10	3	10	7	1	4	12	10	6	8	7	9	12	5	5	10
"AK008330"	2	13	9	15	5	3	13	15	5	5	16	6	2	7	12	2	12	2	16	3	5	9	6	6	1
"AK008545"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK008598"	3	1	13	15	11	3	13	15	5	6	16	6	2	7	16	13	12	3	16	3	5	9	6	9	4
"AK008679"	5	16	6	15	16	3	13	3	5	3	16	12	2	7	15	2	12	2	16	3	5	13	11	6	1
"AK008770"	11	10	3	14	16	11	15	12	6	14	16	15	14	12	2	10	11	4	9	4	16	15	16	4	11
"AK008862"	9	7	6	9	14	10	8	13	12	7	1	2	3	4	1	11	1	6	15	10	1	7	3	5	6
"AK008869"	2	13	6	16	5	5	11	2	3	10	15	5	8	1	15	12	10	2	8	7	9	11	12	5	10
"AK008898"	5	6	6	10	7	9	14	9	14	3	15	12	3	4	16	13	4	6	10	1	2	13	11	9	4
"AK009140"	14	9	5	5	6	6	4	5	10	2	6	13	13	9	2	4	8	12	9	2	12	2	13	15	8
"AK009216"	11	2	13	10	16	12	1	12	6	14	5	15	14	12	12	10	4	4	9	4	10	15	15	11	2
"AK009586"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AK009638"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK009740"	15	9	8	5	15	6	4	10	10	16	14	13	1	11	2	5	8	12	13	6	16	2	13	15	13
"AK010233"	7	10	3	14	3	11	1	11	11	14	2	11	16	12	12	3	11	13	12	8	16	15	16	11	2
"AK010610"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AK010630"	14	12	8	1	6	16	3	5	10	2	6	13	13	15	8	4	9	16	11	8	6	14	8	8	8
"AK010841"	2	13	6	16	5	5	11	2	3	10	8	5	8	1	15	12	10	2	8	7	9	11	12	6	1
"AK011275"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AK011656"	3	16	9	15	16	12	1	12	6	5	5	5	8	12	15	2	12	4	10	3	13	15	7	6	2
"AK011675"	11	9	8	1	6	16	3	5	10	14	2	15	14	12	2	10	11	16	9	4	16	15	8	8	8
"AK011730"	2	11	6	16	5	4	16	2	3	10	4	7	7	1	5	12	10	6	8	7	9	12	12	5	10
"AK011739"	3	13	9	11	13	2	13	8	5	5	3	7	2	1	4	2	12	2	2	3	5	12	5	10	1
"AK011948"	11	9	14	5	15	6	4	12	6	14	14	15	14	12	2	10	11	4	9	4	16	15	13	15	2
"AK012459"	5	6	12	13	7	9	11	3	1	3	15	12	15	8	9	14	4	9	10	13	2	13	11	7	9
"AK012892"	3	2	10	12	11	12	5	12	7	13	5	8	4	6	11	1	15	4	6	9	13	1	7	10	2
"AK013060"	8	15	7	10	1	8	2	7	13	6	9	9	9	5	7	13	13	1	1	1	10	16	15	9	4
"AK013113"	2	13	6	16	5	5	11	2	3	10	8	5	8	1	15	12	10	2	8	7	9	11	12	5	10
"AK013208"	15	9	14	5	15	6	4	10	15	16	14	1	14	11	2	10	8	12	13	6	12	2	13	15	12
"AK013289"	5	16	6	16	7	5	11	3	3	3	15	5	8	1	15	14	10	15	10	7	9	13	11	6	9
"AK013342"	5	6	13	10	7	9	14	9	8	6	15	12	15	12	9	13	4	4	13	1	2	13	15	9	4
"AK013354"	7	16	12	13	7	13	15	3	1	3	11	12	15	8	6	14	2	9	10	13	2	6	11	7	9
"AK013390"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK013537"	2	13	9	7	13	4	16	2	3	10	8	7	7	1	4	12	3	2	8	15	7	12	12	12	10
"AK013545"	10	5	1	3	15	8	10	4	8	11	13	16	10	14	2	15	5	8	5	16	15	4	14	3	16
"AK013604"	2	13	9	16	5	5	16	2	3	5	8	5	8	1	4	12	3	2	8	3	9	11	12	6	1
"AK013614"	3	5	15	11	11	2	5	7	7	6	3	8	4	6	11	1	7	7	4	16	10	5	7	3	7
"AK013634"	15	9	14	5	15	6	4	1	15	8	7	1	12	3	2	8	8	12	7	14	12	10	13	15	5
"AK013702"	5	16	12	13	7	13	15	3	1	3	11	12	15	8	12	14	2	13	10	13	2	13	11	4	9
"AK013704"	2	13	9	16	5	5	13	2	3	10	8	5	8	1	4	12	10	2	8	3	9	11	12	6	1
"AK013749"	5	6	13	10	1	9	14	9	14	6	15	12	9	4	9	13	4	6	13	1	10	13	15	9	4
"AK013809"	5	1	13	15	16	3	13	15	5	6	16	12	2	7	16	2	12	3	16	3	5	13	6	9	1
"AK013859"	15	9	14	5	15	6	4	10	10	16	14	15	14	11	2	5	8	12	13	6	16	2	13	8	13
"AK014075"	3	2	4	12	11	14	5	12	7	13	5	8	4	6	11	1	14	4	6	9	13	1	7	10	2
"AK014260"	12	4	7	2	10	8	2	16	13	15	16	9	11	2	7	16	13	14	5	16	4	16	10	13	15
"AK014401"	3	2	9	16	5	5	11	2	5	5	5	5	8	1	15	2	10	2	6	7	9	11	12	6	1
"AK014541"	2	11	6	16	5	5	11	2	3	5	15	5	8	1	15	12	10	6	10	7	9	13	12	5	1
"AK014593"	2	13	9	15	5	5	13	2	3	10	8	5	2	1	4	2	10	2	8	3	9	11	12	6	1
"AK014656"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK014662"	7	16	3	14	7	13	15	3	1	3	11	11	16	8	6	14	2	13	10	13	3	6	11	4	11
"AK014695"	11	5	1	3	15	1	4	12	8	14	13	15	14	12	2	10	11	4	9	4	16	4	14	3	2
"AK014745"	3	2	10	12	11	12	5	12	6	13	5	8	14	12	11	1	15	4	6	9	13	1	7	10	2
"AK014937"	12	4	9	15	10	3	13	15	5	5	12	5	2	7	14	2	12	14	3	3	5	8	2	14	1
"AK015010"	2	16	6	16	5	5	11	2	3	10	8	5	8	1	15	12	10	2	8	7	9	11	12	6	10
"AK015028"	15	9	14	5	15	6	4	6	15	4	14	15	14	11	2	10	8	12	13	4	12	3	13	15	3
"AK015056"	16	14	2	7	13	4	16	8	2	10	4	7	7	10	5	9	3	5	8	15	7	12	5	12	14
"AK015069"	10	5	1	3	9	1	10	14	8	11	13	16	10	14	10	15	5	8	5	16	15	4	14	3	16
"AK015226"	5	16	6	16	5	5	11	3	3	3	15	12	8	1	15	14	4	2	10	7	9	13	12	6	9
"AK015330"	2	16	6	16	5	5	11	2	3	5	15	5	8	1	15	12	10	2	10	7	9	11	12	6	1
"AK015414"	10	6	1	3	9	1	10	14	8	11	13	16	10	14	9	15	5	8	13	16	15	4	14	3	16
"AK015459"	1	16	6	16	4	5	11	3	3	3	10	5	8	13	15	14	10	15	10	7	9	13	12	5	3
"AK015494"	5	16	12	13	7	3	11	3	1	3	16	12	15	8	15	14	12	9	10	13	2	13	11	7	9
"AK015570"	12	4	16	10	10	3	14	9	5	6	15	10	2	2	16	16	12	14	3	1	5	9	2	9	4
"AK015647"	1	8	4	6	10	14	12	6	4	4	10	4	6	13	15	7	12	15	14	3	11	3	9	2	3
"AK015665"	10	16	12	13	7	14	15	3	1	3	13	16	6	8	10	14	5	8	10	13	2	13	11	7	9
"AK015839"	7	10	12	13	7	13	6	3	1	9	2	15	15	8	6	14	2	9	13	13	2	6	16	7	9
"AK015841"	6	11	6	16	14	9	11	2	3	10	15	10	8	1	16	12	10	6	8	7	9	5	12	5	10
"AK016058"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AK016060"	5	1	13	15	16	3	13	15	5	6	16	6	2	7	16	2	12	3	16	3	5	13	15	9	1
"AK016133"	7	10	8	14	3	11	15	11	10	9	2	13	16	15	6	3	9	13	12	8	16	6	16	4	11
"AK016239"	10	1	1	15	9	3	13	15	5	5	16	6	2	7	10	2	12	3	16	3	5	9	6	3	1
"AK016242"	2	13	9	15	5	3	13	15	5	5	8	5	2	7	4	2	12	2	8	3	5	9	12	6	1
"AK016261"	5	1	6	15	10	3	13	15	5	5	16	6	2	7	16	2	12	2	16	3	5	9	6	9	1
"AK016265"	11	9	13	14	16	11	4	12	6	14	2	15	14	12	2	10	11	4	9	4	16	15	16	11	2
"AK016547"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AK016549"	10	5	12	13	7	1	10	3	8	3	13	16	14	14	2	15	5	4	5	16	2	4	11	7	16
"AK016661"	5	6	12	13	7	13	11	3	1	3	15	12	15	8	15	14	4	9	10	13	2	13	11	7	9
"AK016718"	14	9	14	5	6	6	4	5	10	2	6	13	13	9	2	4	8	12	11	2	12	14	13	8	8
