"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AA204140"	13	4	12	19	13	10	5	7	3	19	14	16	12	8	10	16	13	4	12	17	1	8	12	11	7
"AB008911"	11	11	4	12	16	9	6	18	7	6	15	16	3	1	2	14	4	19	13	19	19	19	8	9	4
"AB010313"	18	5	19	17	14	13	1	15	6	4	12	10	8	19	5	19	5	5	19	4	18	9	15	6	6
"AB010342"	12	15	10	8	17	16	11	17	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AB011473"	17	6	16	7	9	11	4	4	10	12	17	8	14	13	7	3	9	6	14	10	9	17	7	16	3
"AB099518"	10	18	6	4	8	11	8	3	2	11	17	19	14	7	18	17	14	6	6	7	13	11	7	13	17
"AF009414"	10	18	15	7	9	11	8	19	10	12	17	13	14	7	7	3	18	6	6	7	13	11	7	16	13
"AF012177"	14	8	1	11	6	15	17	1	8	16	6	2	10	5	8	4	3	16	2	11	7	12	13	7	15
"AF027185"	6	4	12	19	2	10	16	7	3	19	14	18	12	8	10	16	13	4	1	17	10	2	12	3	7
"AF039833"	6	7	9	9	1	3	13	2	4	19	14	9	7	16	4	10	17	10	8	9	12	2	14	14	10
"AF062752"	19	1	3	13	4	1	14	6	12	10	11	6	9	17	12	10	6	2	7	3	11	3	4	12	1
"AF064984"	8	3	7	14	7	18	2	14	18	18	16	7	5	14	9	6	2	3	9	12	15	13	14	10	19
"AF065991"	14	19	1	11	12	17	17	12	13	16	6	3	10	6	19	5	3	16	2	11	7	5	13	7	15
"AF081193"	12	15	9	8	17	16	11	2	9	15	7	12	4	18	1	8	12	8	11	5	8	18	6	8	12
"AF097415"	17	6	16	9	3	12	4	19	10	12	3	8	5	13	7	1	9	14	14	10	9	17	18	16	3
"AF103797"	5	14	17	10	15	8	9	5	7	3	5	5	2	11	13	18	16	15	17	2	6	15	2	18	2
