"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AA204140"	5	4	2	3	1	2	4	2	6	3	8	3	2	6	7	4	2	1	8	8	1	7	2	5	2
"AB008911"	6	4	2	6	3	7	2	3	5	6	3	8	1	8	7	3	5	3	1	5	6	7	4	7	2
"AB010313"	6	2	6	1	3	7	1	5	1	8	3	8	4	8	2	1	5	3	4	5	6	8	5	7	1
"AB010342"	2	7	4	5	4	1	6	7	4	7	7	6	3	7	1	8	6	4	3	1	7	3	8	2	4
"AB011473"	8	8	8	8	7	6	7	6	7	1	6	7	7	5	4	6	3	7	7	6	4	5	1	6	7
"AB099518"	3	6	7	8	7	6	5	1	7	5	2	7	7	5	6	6	3	2	7	3	5	2	3	6	3
"AF009414"	3	8	8	8	7	6	5	1	7	1	6	7	7	5	4	6	3	7	7	6	5	2	1	6	7
"AF012177"	1	1	3	2	8	5	2	4	3	6	5	2	5	3	3	5	8	8	6	2	8	6	4	3	8
"AF027185"	5	4	2	3	1	2	4	2	6	3	8	3	2	6	7	4	2	1	8	8	1	7	2	5	2
"AF039833"	7	3	2	6	5	4	4	3	5	2	4	5	1	1	8	3	2	1	1	4	3	7	6	5	6
"AF062752"	5	4	2	3	1	2	4	2	6	3	8	3	2	1	7	4	2	1	8	8	3	7	2	5	2
"AF064984"	2	7	5	5	4	1	7	6	5	2	7	6	3	7	1	8	6	6	3	4	7	1	6	2	4
"AF065991"	1	1	3	6	8	5	2	4	3	6	5	2	5	3	3	5	8	8	6	2	8	6	4	8	8
"AF081193"	2	7	4	5	4	1	6	7	4	7	7	6	3	7	1	8	6	4	3	1	7	3	8	2	4
"AF097415"	8	8	8	4	2	8	7	6	2	1	6	1	6	4	4	7	4	7	5	6	4	5	1	1	7
"AF103797"	7	7	5	6	5	4	4	3	5	2	4	1	3	1	8	3	4	6	1	1	3	1	6	8	6
"AF124721"	8	8	8	4	2	8	7	6	2	1	6	1	6	4	4	7	4	7	5	6	4	5	1	1	7
"AF127140.1"	8	8	8	8	2	6	7	6	7	1	6	7	7	5	4	7	3	7	7	6	4	5	1	6	7
"AF129738"	1	1	3	2	8	5	2	4	3	6	5	2	5	3	3	5	8	8	6	2	8	6	4	3	8
"AF139595"	5	4	2	3	1	2	4	2	6	3	8	3	2	6	7	4	2	1	8	8	1	7	2	5	2
"AF180471"	8	8	8	4	2	8	7	6	2	1	6	1	6	4	4	7	4	7	5	6	4	5	1	1	7
"AF198092"	8	8	5	4	2	8	8	6	2	2	4	1	6	4	8	7	4	6	5	6	3	1	6	1	6
"AF210281"	8	8	8	4	2	8	7	6	2	1	6	1	6	4	4	7	4	7	5	6	4	5	1	1	7
"AF217545"	3	6	8	8	7	6	7	1	7	1	6	7	7	5	4	6	3	7	7	3	5	2	1	6	7
"AF223362"	8	8	8	4	2	8	4	2	6	3	6	1	2	4	4	7	2	1	5	6	4	5	2	1	7
"AF275549"	4	5	1	7	6	3	3	8	8	4	1	4	8	2	5	2	1	5	2	7	2	4	7	4	5
"AF346836"	6	2	1	7	6	3	1	8	8	4	3	4	8	2	5	1	1	5	2	5	2	8	7	4	5
"AF425084"	5	7	4	5	4	2	6	7	4	7	8	3	2	6	7	4	6	4	3	1	1	3	8	5	2
"AF441786"	2	6	7	5	4	1	6	1	7	5	7	6	7	7	1	8	6	2	3	3	7	2	3	2	4
"AF464177"	7	4	5	3	1	2	8	2	6	2	4	3	2	1	8	3	2	6	8	4	3	1	2	5	6
"AF510652"	6	2	6	1	3	7	1	5	1	8	3	8	4	8	2	1	5	3	4	5	6	8	5	7	1
"AI509818"	2	7	4	5	4	1	6	7	4	7	7	6	3	7	1	8	6	4	3	1	7	3	8	2	4
"AI840334"	2	7	4	5	4	1	6	7	4	7	7	6	3	7	1	8	6	4	3	1	7	3	8	2	4
"AJ278768"	1	1	3	6	5	4	2	3	5	6	5	5	1	1	3	3	7	8	1	2	3	6	4	8	8
"AJ293727"	2	7	4	5	4	1	6	7	4	7	7	6	3	7	1	8	6	4	3	1	7	3	8	2	4
