"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	1	1	2	4	4	2	1	4	4	1	3	1	3	4	4	4	4	1	2	4
"A_51_P172409"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_51_P188401"	2	3	1	2	1	1	4	3	3	4	2	4	2	2	3	3	1	2	4	3
"A_51_P191274"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_51_P226791"	2	2	3	3	1	1	3	2	2	2	2	4	4	3	3	3	3	3	1	1
"A_51_P277048"	4	4	4	1	2	1	2	1	3	3	2	4	2	1	3	1	1	2	4	2
"A_51_P305453"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_51_P326259"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_51_P327496"	4	3	1	1	2	4	4	1	1	3	2	3	3	2	1	1	1	2	4	2
"A_51_P350172"	2	4	4	2	1	1	2	3	3	4	1	4	1	1	3	3	3	4	3	3
"A_51_P426986"	1	1	2	4	4	2	1	4	4	1	3	1	3	4	4	4	4	1	2	4
"A_51_P515046"	1	1	2	4	4	2	1	4	4	1	3	1	3	4	4	4	4	1	2	4
"A_52_P1021224"	3	2	3	3	3	3	3	2	2	2	4	2	4	3	2	2	2	3	1	1
"A_52_P1053094"	2	4	4	2	1	1	2	3	3	4	1	4	1	1	3	3	3	2	3	3
"A_52_P1053662"	2	4	4	1	1	1	2	3	3	4	2	4	2	1	3	1	3	2	3	2
"A_52_P1101503"	4	3	1	1	2	4	4	1	2	3	2	3	2	2	1	1	1	2	4	2
"A_52_P1173798"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_52_P1197466"	4	3	1	1	2	4	4	1	1	3	3	3	3	2	1	1	1	2	4	2
"A_52_P13337"	4	3	1	1	2	4	4	1	3	3	2	3	2	2	1	1	1	2	4	2
"A_52_P362072"	2	4	4	2	1	1	2	3	3	4	1	4	1	1	3	3	3	4	3	3
"A_52_P477386"	2	4	4	2	1	1	2	3	3	4	1	4	1	1	3	3	3	4	3	3
"A_52_P541760"	2	4	4	2	1	1	2	3	3	4	1	4	1	1	3	3	3	4	3	3
"A_52_P549754"	1	1	2	4	4	2	1	4	4	1	3	1	3	4	4	4	4	1	2	4
"A_52_P724603"	3	2	3	3	3	3	3	2	2	2	4	2	4	3	2	2	2	3	1	1
"A_52_P771912"	3	2	3	3	3	3	3	2	2	2	4	2	4	3	2	2	2	3	1	1
"A_52_P812870"	4	1	2	4	4	4	1	1	1	3	3	1	3	4	1	4	4	2	2	4
"A_52_P820445"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_52_P852771"	4	3	1	1	2	1	4	1	3	3	2	3	2	2	1	1	1	2	4	2
"A_52_P868798"	3	3	1	1	2	3	4	2	2	2	2	3	2	2	2	1	1	2	4	2
"A_52_P956633"	1	4	4	4	1	1	2	4	4	1	3	4	1	1	3	3	3	4	3	4
"A_52_P981301"	1	1	4	1	4	1	2	4	4	1	3	4	1	1	3	3	3	4	3	4
"A_52_P988778"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"A_52_P996776"	2	4	4	1	1	1	2	1	3	3	1	4	2	1	3	1	3	4	3	2
"AA204140"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"AB008911"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"AB010313"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
"AB010342"	4	3	1	1	2	4	4	1	1	3	2	3	2	2	1	1	1	2	4	2
