"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	6	6	2	6	7	2	2	5	4	1	6	4	1	1	5	2	7	1	1	1
"A_51_P172409"	3	3	6	3	4	3	6	3	3	3	3	1	7	7	4	3	1	6	4	6
"A_51_P188401"	1	7	4	4	1	4	1	2	7	5	7	7	2	4	6	7	2	4	7	2
"A_51_P191274"	7	1	6	3	4	7	6	3	2	3	3	1	7	7	1	5	6	6	1	6
"A_51_P226791"	1	7	4	4	5	4	1	6	7	7	7	2	2	4	6	7	2	5	7	7
"A_51_P277048"	3	3	7	7	1	6	7	2	3	5	1	7	7	5	4	5	4	4	3	2
"A_51_P305453"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_51_P326259"	3	3	6	5	1	3	7	2	3	3	3	1	5	5	1	3	6	6	4	2
"A_51_P327496"	7	1	6	3	4	7	6	3	4	3	3	1	7	7	1	2	6	6	1	6
"A_51_P350172"	2	4	7	7	3	6	3	1	2	4	1	3	6	6	2	5	4	7	3	5
"A_51_P426986"	2	1	6	7	4	6	6	3	2	1	1	4	7	7	2	5	4	6	3	6
"A_51_P515046"	2	6	7	7	7	6	2	1	2	1	1	4	1	6	2	5	4	1	3	1
"A_52_P1021224"	3	7	4	4	5	4	1	6	7	7	7	2	2	4	6	1	2	5	7	7
"A_52_P1053094"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P1053662"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P1101503"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P1173798"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P1197466"	7	1	6	3	4	7	6	3	6	3	3	1	7	7	1	2	6	6	1	6
"A_52_P13337"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P362072"	1	4	7	7	3	6	3	1	2	4	1	3	6	6	2	7	4	7	3	5
"A_52_P477386"	1	3	1	7	3	3	7	2	3	5	2	7	6	5	4	7	1	4	3	5
"A_52_P541760"	2	4	7	7	3	6	3	1	2	4	1	3	6	6	2	5	4	7	3	5
"A_52_P549754"	7	1	6	3	4	7	6	3	2	3	3	1	7	7	1	5	6	6	6	6
"A_52_P724603"	1	7	4	1	5	4	1	6	7	7	7	6	2	4	6	7	2	3	7	4
"A_52_P771912"	4	5	5	2	2	5	5	4	1	6	4	5	2	2	7	1	3	5	2	3
"A_52_P812870"	7	1	6	3	4	7	6	3	4	3	3	1	7	7	5	2	7	6	1	6
"A_52_P820445"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P852771"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P868798"	3	3	1	5	1	3	7	2	3	5	2	7	5	5	4	3	1	4	4	2
"A_52_P956633"	2	1	6	7	4	6	6	3	2	3	1	1	7	7	2	5	4	6	3	6
"A_52_P981301"	2	3	7	7	4	6	6	1	2	5	1	7	7	6	2	5	4	4	3	6
