"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	9	5	1	1	10	5	5	9	5	1	8	2	3	4	6	4	4	8	10	4
"A_51_P172409"	1	8	3	8	4	8	7	3	4	8	9	10	4	2	4	1	10	3	7	1
"A_51_P188401"	6	1	2	10	4	2	3	3	4	8	9	9	6	7	5	3	10	1	4	5
"A_51_P191274"	5	6	3	9	1	8	7	6	9	10	3	10	4	2	4	1	8	3	7	3
"A_51_P226791"	4	3	2	10	9	2	6	8	10	3	5	9	8	7	5	8	2	10	4	7
"A_51_P277048"	1	8	9	8	4	5	10	3	4	7	9	8	6	9	9	3	10	1	2	4
"A_51_P305453"	1	8	9	8	3	10	10	3	7	8	9	8	6	9	9	3	10	6	3	1
"A_51_P326259"	1	8	9	8	3	10	10	6	7	10	3	10	4	2	9	1	8	3	3	1
"A_51_P327496"	5	6	3	9	1	8	7	6	9	10	3	10	3	2	4	1	8	3	7	3
"A_51_P350172"	7	2	5	6	2	5	4	4	6	7	10	5	5	5	7	6	7	7	2	5
"A_51_P426986"	7	2	3	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"A_51_P515046"	7	2	5	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"A_52_P1021224"	4	3	6	10	9	2	8	5	10	3	6	9	8	7	8	8	2	10	8	7
"A_52_P1053094"	1	8	9	8	4	10	10	3	4	8	9	8	6	9	9	3	10	1	3	1
"A_52_P1053662"	1	8	9	8	4	10	10	3	4	8	9	8	6	9	9	3	10	6	3	1
"A_52_P1101503"	1	8	9	8	3	10	10	5	7	8	6	8	6	9	9	3	10	6	3	1
"A_52_P1173798"	1	8	9	8	3	10	10	3	7	8	6	8	6	9	9	3	10	6	3	1
"A_52_P1197466"	5	6	3	9	1	8	7	6	9	10	3	10	3	2	4	4	8	3	7	3
"A_52_P13337"	1	8	9	8	4	10	10	3	4	8	9	8	6	9	9	3	10	1	3	1
"A_52_P362072"	6	1	2	6	2	9	4	4	6	2	10	5	5	5	5	7	7	7	4	5
"A_52_P477386"	6	8	2	6	4	9	4	3	4	7	9	5	6	5	5	3	10	1	4	5
"A_52_P541760"	7	2	5	1	2	5	5	9	5	7	8	2	5	1	7	6	5	8	2	4
"A_52_P549754"	3	7	3	1	1	8	7	9	9	10	3	10	1	2	4	1	8	3	7	10
"A_52_P724603"	10	10	4	10	9	2	3	8	10	3	5	9	8	7	10	8	9	2	6	6
"A_52_P771912"	2	3	6	10	5	1	8	5	1	6	2	7	2	3	8	9	2	10	8	8
"A_52_P812870"	5	6	3	9	1	8	7	2	4	4	3	10	3	2	4	5	4	3	7	3
"A_52_P820445"	1	8	9	8	4	10	10	3	4	8	9	8	6	9	9	3	10	1	3	1
"A_52_P852771"	1	8	9	8	4	10	10	3	4	8	9	8	6	9	9	3	10	1	3	1
"A_52_P868798"	1	8	9	8	3	10	10	5	7	8	6	8	8	9	9	3	10	6	3	1
"A_52_P956633"	3	7	10	1	10	3	5	9	5	7	8	4	1	1	3	6	5	8	2	10
"A_52_P981301"	7	2	5	1	4	5	5	3	4	7	9	2	6	4	7	6	5	1	2	4
"A_52_P988778"	1	8	4	8	3	10	10	5	7	8	6	8	4	9	9	3	10	6	6	1
"A_52_P996776"	3	7	10	6	1	3	6	3	4	7	10	4	4	1	3	1	7	3	9	10
"AA204140"	10	10	4	8	3	10	10	5	7	8	6	8	4	9	10	3	10	6	6	1
"AB008911"	3	7	10	3	3	3	2	5	10	3	6	4	10	7	3	10	3	6	9	10
"AB010313"	8	4	8	3	8	6	2	10	2	9	4	6	10	8	1	10	3	9	5	2
"AB010342"	5	6	3	7	1	8	7	6	9	10	3	10	4	2	4	1	8	3	7	3
"AB011473"	7	2	5	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"AB099518"	9	5	1	5	10	4	5	2	5	4	1	3	7	10	6	5	4	5	10	9
"AF009414"	7	2	1	1	10	5	5	9	5	1	8	2	1	4	6	6	5	8	10	4
"AF012177"	4	3	6	4	5	1	8	7	1	6	2	7	2	3	8	9	2	10	8	7
"AF027185"	1	8	9	8	3	10	10	3	7	8	6	8	4	9	9	3	10	6	3	1
"AF039833"	1	8	2	6	2	9	6	4	6	8	10	8	5	5	5	7	10	7	3	5
"AF062752"	1	8	9	8	4	10	10	3	4	8	9	8	6	9	9	3	10	1	3	1
"AF064984"	5	6	3	9	1	8	7	9	4	2	9	10	3	2	4	4	1	1	7	3
"AF065991"	4	3	6	4	9	1	8	5	10	6	2	7	8	7	8	9	2	10	8	7
"AF081193"	5	6	3	9	1	8	7	6	9	10	3	10	4	2	4	1	8	3	7	3
"AF097415"	7	2	5	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"AF103797"	3	7	10	6	2	3	6	4	6	7	10	4	5	1	3	1	7	7	9	10
"AF124721"	7	2	5	1	10	5	5	9	5	7	8	2	1	4	7	6	5	8	2	4
"AF127140.1"	7	2	5	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"AF129738"	4	3	6	10	9	1	8	5	10	3	2	7	8	7	8	8	9	10	8	7
"AF139595"	1	8	9	8	3	10	10	3	7	8	9	8	6	9	9	3	10	6	3	1
"AF180471"	7	2	5	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"AF198092"	6	1	2	6	2	9	4	4	6	2	10	5	5	5	5	7	1	7	4	5
"AF210281"	7	7	5	1	2	5	4	9	6	7	10	4	5	1	7	6	7	7	2	10
"AF217545"	7	2	1	1	10	5	5	9	5	1	8	2	1	4	6	6	5	8	10	4
"AF223362"	6	8	9	1	4	9	5	3	4	2	9	8	6	5	7	3	10	1	2	5
"AF275549"	10	10	4	2	6	7	1	1	3	5	7	1	9	6	10	2	6	4	6	6
"AF346836"	10	10	4	2	6	7	1	5	3	3	7	1	9	7	10	2	9	4	6	6
"AF425084"	10	10	4	7	3	8	10	6	9	10	3	10	4	2	10	1	8	3	6	1
"AF441786"	5	6	3	9	7	8	7	2	8	4	1	10	3	2	4	4	4	3	7	3
"AF464177"	1	1	9	6	4	9	10	3	4	8	9	8	6	5	5	7	10	1	4	5
"AF510652"	8	4	8	3	8	6	2	5	2	9	4	6	10	7	1	10	3	9	5	2
"AI509818"	5	6	3	7	1	8	7	6	9	10	3	10	4	2	3	1	8	3	9	3
"AI840334"	5	6	3	9	1	8	7	6	9	10	3	10	4	2	4	1	8	3	7	3
"AJ278768"	4	3	4	10	9	2	3	8	10	3	5	9	8	7	8	8	9	10	6	7
"AJ293727"	5	6	3	9	1	8	7	6	9	10	3	10	4	2	4	1	8	3	7	3
"AJ558021"	3	7	10	8	3	3	10	3	7	8	6	4	4	1	3	3	10	6	9	10
"AK002213"	7	2	5	6	2	9	4	4	6	7	10	5	5	5	7	6	7	7	2	5
"AK002217"	1	8	9	8	3	10	10	3	7	8	6	8	6	9	9	3	10	6	3	1
"AK002608"	1	8	3	9	4	8	7	3	4	7	9	8	6	9	7	3	10	1	7	5
"AK003142"	1	8	5	6	2	9	4	3	6	7	10	5	5	5	9	7	7	7	2	5
"AK003738"	7	2	3	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	7	4
"AK003760"	7	2	5	1	10	5	5	9	5	1	8	2	1	4	7	6	5	8	2	4
"AK003941"	10	10	4	7	1	6	2	6	9	10	3	6	4	2	10	1	8	3	6	6
"AK004056"	7	2	5	1	10	5	5	9	5	7	8	2	1	4	7	6	5	8	2	4
