"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	13	4	9	1	9	3	8	13	7	8	2	11	2	5	8	8	2	1	6	5
"A_51_P172409"	9	10	11	12	5	11	11	11	4	4	3	1	9	3	9	6	9	12	3	6
"A_51_P188401"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	3	9	5	9	3	8
"A_51_P191274"	9	10	1	13	10	11	11	8	9	4	13	13	9	11	9	5	9	12	5	6
"A_51_P226791"	4	2	8	4	3	13	7	10	3	12	4	10	10	4	3	9	7	10	4	12
"A_51_P277048"	3	3	11	12	5	2	12	11	4	7	3	1	9	3	13	6	5	9	3	8
"A_51_P305453"	8	6	11	11	13	9	12	11	4	6	3	1	5	3	13	6	8	7	11	6
"A_51_P326259"	9	6	1	13	10	11	11	8	9	4	13	13	9	11	9	1	9	12	11	6
"A_51_P327496"	9	10	1	13	10	11	11	8	9	4	13	13	2	11	9	5	9	12	5	6
"A_51_P350172"	12	11	3	2	11	10	9	3	13	9	10	7	13	13	6	4	10	3	9	13
"A_51_P426986"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	2	6	6	10
"A_51_P515046"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	13	6	6	10
"A_52_P1021224"	4	2	5	4	3	13	7	10	3	12	4	2	10	4	3	13	6	10	4	9
"A_52_P1053094"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"A_52_P1053662"	3	6	11	12	5	2	12	11	4	7	3	1	5	3	13	6	8	9	3	8
"A_52_P1101503"	8	6	5	4	13	9	3	7	6	6	12	2	5	10	5	1	8	10	11	9
"A_52_P1173798"	8	6	5	11	13	9	3	7	6	6	12	2	5	10	13	1	8	7	11	9
"A_52_P1197466"	13	10	1	1	2	3	11	13	9	4	2	11	2	11	9	5	2	12	5	5
"A_52_P13337"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"A_52_P362072"	12	13	2	2	11	10	2	1	8	9	10	7	13	9	6	9	10	3	13	13
"A_52_P477386"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"A_52_P541760"	5	11	9	5	9	10	8	3	8	10	11	8	11	1	6	8	10	3	6	10
"A_52_P549754"	1	10	1	5	12	4	11	5	7	2	7	8	7	11	7	7	3	12	9	10
"A_52_P724603"	10	13	13	3	3	8	7	2	5	3	9	5	10	4	1	9	7	5	12	7
"A_52_P771912"	6	8	12	9	6	7	1	9	11	12	4	3	6	2	12	3	6	4	8	1
"A_52_P812870"	13	10	1	7	10	3	11	13	10	1	13	11	9	11	9	5	9	12	5	6
"A_52_P820445"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"A_52_P852771"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"A_52_P868798"	8	6	5	11	13	9	3	7	6	6	12	2	5	10	5	1	8	7	11	9
"A_52_P956633"	1	12	10	5	12	4	4	5	1	2	7	4	11	1	7	7	3	11	6	3
"A_52_P981301"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"A_52_P988778"	8	6	5	11	13	9	3	7	6	6	12	2	5	10	5	1	8	7	11	9
"A_52_P996776"	1	12	10	5	12	6	4	5	1	2	7	4	11	1	7	7	3	11	10	3
"AA204140"	8	6	5	11	13	9	3	7	6	6	12	2	5	10	1	1	12	7	11	9
"AB008911"	4	12	8	4	6	6	3	7	6	2	12	10	11	10	5	7	3	10	10	3
"AB010313"	2	7	6	6	4	1	10	6	12	5	5	9	12	12	4	10	4	2	7	11
"AB010342"	9	10	1	13	10	11	11	8	9	4	13	13	9	11	9	1	9	12	11	6
"AB011473"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	13	6	6	10
"AB099518"	11	4	4	7	8	12	8	4	10	1	8	12	8	6	11	12	13	6	2	4
"AF009414"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	13	6	6	10
"AF012177"	6	8	12	9	6	7	1	10	11	12	1	3	6	2	12	13	6	4	8	12
"AF027185"	8	6	5	11	13	9	3	7	6	6	12	2	5	10	5	1	8	7	11	9
"AF039833"	8	11	11	11	11	2	3	1	4	6	10	1	5	13	3	9	7	3	11	9
"AF062752"	3	3	11	12	5	2	12	11	4	7	3	1	4	3	13	6	5	9	3	8
"AF064984"	13	13	2	1	2	3	2	13	8	7	2	1	2	9	8	5	5	1	13	8
"AF065991"	4	2	12	4	6	13	7	10	3	12	4	10	6	4	3	13	6	10	4	12
"AF081193"	9	10	1	13	10	11	11	8	9	4	13	13	9	11	9	5	9	12	5	6
"AF097415"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	2	6	6	10
"AF103797"	1	12	10	5	12	6	4	5	1	2	7	4	11	1	7	7	3	11	10	3
"AF124721"	5	11	9	10	9	4	8	3	13	10	11	8	7	5	2	8	10	6	6	10
"AF127140.1"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	13	6	6	10
"AF129738"	4	8	13	4	3	13	7	9	11	12	4	10	6	4	12	13	6	10	8	12
"AF139595"	8	6	11	11	13	9	12	11	4	7	3	1	5	3	13	6	8	7	11	8
"AF180471"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	10	6	6	10
"AF198092"	12	13	2	1	11	10	2	1	8	9	10	7	13	9	6	4	7	1	13	13
"AF210281"	1	11	10	5	12	10	10	5	13	2	7	4	11	1	7	4	3	3	9	10
"AF217545"	5	4	9	10	9	4	8	3	7	10	11	8	7	5	2	8	13	6	6	10
