"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	11	14	10	17	14	12	10	6	16	14	13	1	12	5	17	4	16	11	17	16
"A_51_P172409"	16	17	8	3	11	18	9	11	2	9	5	15	9	4	10	7	6	17	14	15
"A_51_P188401"	3	1	12	15	12	4	4	9	10	2	5	11	4	11	7	15	10	8	15	17
"A_51_P191274"	16	17	8	18	11	1	9	13	2	9	12	13	9	9	10	7	6	17	14	15
"A_51_P226791"	17	8	1	15	6	4	6	15	10	6	15	6	11	11	2	15	11	15	2	5
"A_51_P277048"	18	17	6	18	9	18	13	5	13	3	4	15	9	13	9	6	13	6	15	10
"A_51_P305453"	12	10	18	3	11	5	3	7	13	8	1	15	7	7	9	6	9	5	15	15
"A_51_P326259"	16	17	8	5	11	13	9	13	2	9	12	13	9	9	10	7	14	17	14	15
"A_51_P327496"	16	2	8	5	11	13	9	13	2	9	12	13	17	9	10	4	14	13	14	15
"A_51_P350172"	18	11	6	13	9	10	7	12	4	3	4	8	3	13	14	14	13	12	6	10
"A_51_P426986"	18	14	6	18	1	1	10	5	14	15	4	17	12	5	14	14	6	6	5	10
"A_51_P515046"	7	14	3	8	14	12	10	6	14	15	9	17	12	15	8	17	16	7	5	16
"A_52_P1021224"	17	8	1	1	13	4	6	15	17	6	2	12	1	6	1	2	18	15	2	5
"A_52_P1053094"	3	1	12	3	12	18	4	11	13	2	5	15	4	4	9	6	10	8	15	17
"A_52_P1053662"	3	10	12	3	12	18	4	11	13	8	1	15	7	7	9	6	10	5	15	17
"A_52_P1101503"	12	10	18	4	13	4	3	7	17	8	2	12	10	8	15	1	9	5	4	11
"A_52_P1173798"	12	10	18	4	13	5	3	7	17	8	2	12	7	7	15	1	9	5	4	11
"A_52_P1197466"	16	2	10	18	8	15	14	13	16	14	13	13	17	5	10	4	5	13	17	12
"A_52_P13337"	3	1	12	3	12	18	4	11	13	2	5	11	4	4	9	6	10	8	15	17
"A_52_P362072"	4	3	13	10	16	11	5	12	4	11	17	16	14	11	4	14	3	12	10	14
"A_52_P477386"	3	1	12	3	12	18	4	11	13	2	5	11	4	4	9	6	10	8	15	17
"A_52_P541760"	8	11	6	13	9	1	13	12	4	3	17	5	13	5	14	14	13	12	6	10
"A_52_P549754"	18	6	6	18	1	1	13	5	12	17	4	8	3	5	3	10	6	6	18	10
"A_52_P724603"	6	8	14	11	18	16	18	15	18	1	18	6	18	11	2	18	4	9	1	3
"A_52_P771912"	15	16	1	1	7	6	15	17	18	6	2	14	1	6	5	2	18	15	1	5
"A_52_P812870"	13	2	10	18	11	1	13	5	2	14	13	13	9	5	3	7	6	6	12	10
"A_52_P820445"	3	1	12	3	12	18	4	11	13	2	5	11	4	4	9	6	10	8	15	17
"A_52_P852771"	3	1	12	3	12	18	4	11	13	2	5	15	4	4	9	6	10	8	15	17
"A_52_P868798"	12	10	18	4	13	5	3	7	17	8	2	12	7	7	15	1	9	5	4	11
"A_52_P956633"	5	13	9	10	1	1	8	2	7	11	14	5	13	18	18	14	6	10	5	13
"A_52_P981301"	3	1	12	3	12	18	4	11	13	3	5	15	4	4	9	6	13	8	15	10
