"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AA204140"	8	17	6	10	10	9	16	13	19	17	1	18	2	7	13	20	20	12	9	7	6	20	16	17	13
"AB008911"	3	18	20	13	20	18	11	10	13	16	3	18	15	19	12	7	19	8	10	10	2	18	1	9	11
"AB010313"	7	8	10	17	17	8	4	15	12	12	12	6	17	12	6	6	2	15	4	13	15	9	14	3	16
"AB010342"	19	7	5	4	2	4	1	14	10	4	17	17	19	18	16	9	8	5	14	8	18	12	9	1	15
"AB011473"	1	9	16	18	19	16	8	18	1	3	13	14	5	15	18	5	6	7	16	1	10	5	6	20	17
"AB099518"	2	1	4	18	18	20	12	12	2	1	8	10	5	16	3	5	15	7	11	18	14	2	3	2	10
"AF009414"	6	9	16	18	5	20	8	19	2	1	13	14	5	16	18	5	6	7	16	18	14	2	3	20	10
"AF012177"	10	12	20	14	6	12	15	8	14	9	20	5	8	20	17	3	3	1	13	15	8	11	8	19	6
"AF027185"	8	17	6	3	7	9	16	16	11	17	1	16	2	7	13	20	20	12	18	7	6	20	10	4	13
"AF039833"	15	2	1	9	14	17	13	7	17	17	14	11	10	10	19	15	17	6	5	11	13	13	2	4	5
"AF062752"	12	16	1	2	13	17	9	20	6	15	10	20	16	14	1	15	10	13	1	14	16	7	5	11	14
"AF064984"	20	6	18	8	16	6	13	4	5	5	5	12	11	3	2	16	14	20	5	12	5	10	7	14	18
"AF065991"	10	4	20	14	3	7	11	2	14	9	20	3	8	4	17	18	3	17	8	5	4	11	8	19	12
"AF081193"	19	7	5	4	2	4	1	14	10	17	17	17	19	18	16	9	8	5	14	8	13	12	9	1	15
"AF097415"	4	9	16	9	5	5	8	18	1	19	15	14	1	15	18	6	6	2	20	1	10	8	6	20	17
"AF103797"	9	5	2	6	20	11	17	1	16	14	7	7	9	11	9	2	7	3	19	16	12	14	11	8	2
"AF124721"	4	9	16	9	5	5	8	18	15	19	4	14	13	15	18	17	6	2	20	1	10	8	15	15	7
"AF127140.1"	6	13	13	18	5	20	12	19	15	1	13	19	5	16	3	5	4	7	16	18	14	2	3	20	10
"AF129738"	14	3	7	10	3	14	11	11	8	11	16	1	7	1	14	4	9	19	3	6	7	19	17	6	20
"AF139595"	12	17	1	3	13	9	16	20	11	17	14	16	2	7	1	15	8	13	18	11	6	20	10	4	13
"AF180471"	6	14	13	12	5	16	2	19	15	19	4	10	13	8	7	17	4	14	17	18	9	4	15	15	7
"AF198092"	11	6	18	8	11	6	19	7	5	2	5	12	11	10	20	12	14	20	2	4	17	8	7	14	18
"AF210281"	4	9	15	9	11	5	8	3	1	19	15	9	12	15	18	6	6	2	20	1	10	8	20	5	19
"AF217545"	6	13	16	18	19	20	12	19	2	1	13	10	5	16	3	5	4	7	16	18	14	2	3	20	10
"AF223362"	20	16	14	2	13	17	9	20	6	15	14	20	16	14	1	15	10	13	1	14	16	7	5	11	14
"AF275549"	14	3	7	10	10	14	7	11	8	20	16	1	7	1	14	19	9	19	9	6	7	19	17	6	20
"AF346836"	14	3	7	10	17	14	7	11	8	20	16	1	7	1	14	8	9	19	3	17	7	19	17	6	20
"AF425084"	19	7	5	4	2	4	1	14	10	4	17	17	19	18	16	9	8	5	14	8	18	12	9	1	15
"AF441786"	5	11	8	11	12	19	5	12	18	3	2	4	20	6	18	13	18	9	12	1	5	16	13	13	4
"AF464177"	12	16	1	2	13	17	9	20	6	15	14	11	16	14	1	15	10	13	5	14	16	7	5	11	14
"AF510652"	7	8	10	10	17	18	7	15	12	12	3	18	15	12	6	1	9	15	10	10	2	19	1	6	11
"AI509818"	19	7	5	4	2	4	1	14	10	4	17	17	19	18	16	9	8	5	14	8	13	12	9	1	15
