"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	11	11	7	2	4	16	6	8	12	17	14	14	3	7	14	2	17	9	6	11
"A_51_P172409"	15	14	1	5	9	7	3	10	10	1	11	16	6	9	8	12	15	14	12	14
"A_51_P188401"	4	9	1	14	5	9	13	5	10	9	12	4	13	9	17	1	11	11	10	9
"A_51_P191274"	15	14	7	9	9	7	3	10	3	1	11	16	6	6	8	3	15	14	8	3
"A_51_P226791"	12	3	12	11	7	5	17	16	11	10	6	13	9	13	13	1	2	16	15	7
"A_51_P277048"	4	14	1	5	15	2	13	5	10	9	16	4	4	10	17	12	14	1	10	9
"A_51_P305453"	2	14	2	5	5	3	2	1	17	12	4	4	12	15	2	16	8	7	10	14
"A_51_P326259"	15	14	17	9	9	7	3	10	3	1	11	16	6	6	8	3	15	14	12	14
"A_51_P327496"	15	17	17	15	9	7	3	10	3	1	11	16	14	4	8	2	15	14	12	14
"A_51_P350172"	10	8	13	12	15	2	15	11	8	2	16	7	4	10	3	8	16	17	2	4
"A_51_P426986"	10	11	7	4	12	16	12	13	14	17	15	14	4	7	3	11	14	1	8	3
"A_51_P515046"	11	11	9	4	12	16	12	13	14	8	15	14	7	7	15	11	10	6	16	11
"A_52_P1021224"	12	4	12	17	7	5	17	16	11	10	6	13	9	8	13	14	2	16	15	17
"A_52_P1053094"	4	9	1	5	5	9	13	5	10	9	12	4	13	9	17	12	11	11	10	9
"A_52_P1053662"	4	4	1	5	5	9	13	5	10	9	12	4	12	9	17	12	8	11	10	9
"A_52_P1101503"	6	4	2	11	8	3	2	1	17	12	4	17	1	15	2	16	8	7	4	2
"A_52_P1173798"	2	4	2	17	8	3	2	1	17	12	4	17	12	15	2	16	8	7	4	2
"A_52_P1197466"	15	17	7	15	4	13	6	8	3	17	14	9	14	4	8	2	14	1	8	6
"A_52_P13337"	4	9	1	5	5	9	13	5	10	9	12	4	13	9	17	12	11	11	10	9
"A_52_P362072"	1	10	10	8	16	14	1	17	8	15	10	12	10	5	6	11	16	17	13	13
"A_52_P477386"	4	9	1	5	5	9	13	5	10	9	12	4	13	9	17	12	11	11	10	9
"A_52_P541760"	10	8	13	8	15	14	15	12	12	2	16	7	4	5	3	11	14	17	8	11
"A_52_P549754"	10	12	7	7	12	2	6	12	6	17	16	7	4	10	3	13	14	1	8	3
"A_52_P724603"	7	7	16	10	7	5	16	15	2	10	6	13	15	14	1	10	3	2	5	17
"A_52_P771912"	13	13	6	1	10	1	5	3	1	6	7	5	9	8	16	14	9	16	7	17
