"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	2	2	1	2	1	3	2	3	2	2	3	3	1	3	1	1	2	2	2	1
"A_51_P172409"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P188401"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P191274"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P226791"	1	1	3	1	2	1	3	2	3	1	1	1	3	1	2	3	3	3	1	2
"A_51_P277048"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P305453"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P326259"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P327496"	2	2	1	2	1	3	2	3	2	3	3	3	1	3	1	1	2	2	2	1
"A_51_P350172"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_51_P426986"	2	1	2	3	3	2	1	1	1	3	2	2	2	2	1	1	2	1	3	1
"A_51_P515046"	2	2	1	2	1	3	2	3	2	2	3	3	1	2	1	1	2	2	2	1
"A_52_P1021224"	3	3	3	1	2	1	3	2	3	1	1	1	3	1	3	2	1	3	1	3
"A_52_P1053094"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P1053662"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P1101503"	1	1	3	3	2	1	3	2	3	1	1	1	3	1	2	3	3	3	1	2
"A_52_P1173798"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P1197466"	2	2	1	2	1	3	2	3	2	3	3	3	1	3	1	1	2	1	2	1
"A_52_P13337"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P362072"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P477386"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P541760"	2	2	1	2	1	3	1	3	2	2	3	2	2	2	1	1	2	2	2	1
"A_52_P549754"	2	2	1	2	1	2	1	3	1	3	3	3	1	3	1	1	2	2	2	1
"A_52_P724603"	3	3	3	1	2	1	3	2	3	1	1	1	3	1	3	2	1	3	1	3
"A_52_P771912"	3	3	3	1	2	1	3	2	3	1	1	1	3	1	3	2	1	3	1	3
"A_52_P812870"	2	1	2	3	3	2	2	1	1	3	2	3	2	3	1	1	3	1	3	1
"A_52_P820445"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P852771"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P868798"	3	3	3	1	2	1	3	2	3	1	1	1	3	1	3	2	3	3	1	3
"A_52_P956633"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P981301"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"A_52_P988778"	1	3	3	3	2	2	3	2	3	1	1	1	3	1	2	3	3	3	1	2
"A_52_P996776"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"AA204140"	3	3	3	3	2	1	3	2	3	1	1	1	3	1	2	3	3	3	1	3
"AB008911"	1	1	3	3	2	2	3	2	3	1	1	1	3	1	2	3	3	3	1	2
"AB010313"	1	1	2	3	2	2	1	1	1	3	2	1	2	1	2	3	3	1	3	2
"AB010342"	1	1	2	3	3	2	1	1	1	3	2	2	2	2	2	3	3	1	3	2
"AB011473"	2	2	1	2	1	3	2	3	2	2	3	3	1	3	1	1	2	2	2	1
"AB099518"	2	2	1	2	1	3	2	3	2	2	3	3	1	3	1	1	2	2	2	1
"AF009414"	2	2	1	2	1	3	2	3	2	2	3	3	1	3	1	1	2	2	2	1
"AF012177"	3	3	3	1	2	1	3	2	3	1	1	1	3	1	3	2	1	3	1	3
"AF027185"	1	1	2	3	3	2	3	1	1	3	2	2	2	1	2	3	3	1	3	2
