"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AA204140"	7	8	7	5	8	8	6	3	6	7	7	1	1	3	4	7	1	6	5	2	1	5	9	9	4
"AB008911"	2	6	7	8	6	3	7	4	8	8	8	3	2	7	2	6	9	7	9	8	5	1	7	2	8
"AB010313"	2	6	1	1	4	9	7	2	4	5	5	3	8	7	5	3	2	7	6	8	7	1	7	4	9
"AB010342"	9	3	8	6	7	5	1	9	5	2	7	5	7	9	1	9	4	2	3	4	4	5	4	2	7
"AB011473"	4	9	6	9	9	7	9	6	1	1	2	7	3	5	6	5	5	1	1	9	9	4	2	7	1
"AB099518"	5	2	9	9	5	2	8	1	9	4	9	6	3	5	8	1	8	5	1	1	2	2	1	7	2
"AF009414"	4	9	6	9	9	7	9	6	1	1	2	7	3	5	6	5	5	1	1	9	2	2	2	7	1
"AF012177"	1	1	4	3	2	6	3	8	7	3	4	8	9	2	2	2	9	4	7	5	5	9	3	1	8
"AF027185"	7	8	7	5	8	8	6	3	6	7	7	1	1	3	4	7	1	6	5	2	1	8	9	9	4
"AF039833"	6	8	7	7	1	4	5	3	2	7	7	2	1	6	4	7	6	9	2	3	1	8	5	9	4
"AF062752"	7	8	7	5	8	8	6	3	6	7	7	1	1	6	4	7	1	6	5	2	1	8	9	9	4
"AF064984"	9	7	2	6	7	5	1	1	2	6	1	5	4	9	1	9	6	2	2	3	6	4	4	8	6
"AF065991"	1	1	4	8	2	3	3	4	7	3	4	9	2	2	2	6	9	4	9	5	5	9	3	1	8
"AF081193"	9	3	8	6	7	5	1	9	5	2	1	5	7	9	1	9	4	2	3	4	4	4	4	8	7
"AF097415"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	4	2	6	1
"AF103797"	6	3	5	7	1	4	5	5	5	6	8	2	7	7	1	9	4	9	3	4	6	3	5	2	6
"AF124721"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	6	2	6	1
"AF127140.1"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	6	2	7	1
"AF129738"	1	4	4	8	6	3	3	4	8	3	4	9	2	2	2	6	9	4	9	5	5	9	3	1	8
"AF139595"	7	8	7	5	8	8	6	3	6	7	7	1	1	3	4	7	1	6	5	2	1	8	9	9	4
"AF180471"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	6	2	6	1
"AF198092"	6	7	2	7	1	4	9	5	2	6	6	2	5	4	7	8	6	1	2	3	6	3	5	6	6
"AF210281"	4	9	6	7	1	4	9	5	1	1	2	7	5	4	6	5	6	1	2	9	9	4	5	6	6
"AF217545"	4	9	6	9	9	7	9	6	1	1	2	7	3	5	6	5	5	1	1	9	9	2	2	7	1
"AF223362"	7	9	7	7	1	8	9	3	6	6	6	7	1	4	4	5	1	6	2	2	6	6	9	6	6
"AF275549"	8	4	3	2	3	1	4	7	3	8	3	4	6	1	9	4	3	3	4	7	3	5	6	5	3
"AF346836"	8	4	3	2	3	3	4	7	8	8	5	4	6	1	9	3	3	3	4	7	3	7	6	5	3
"AF425084"	7	3	8	6	7	5	1	9	5	2	7	5	1	3	1	7	4	2	3	4	4	5	4	2	7
"AF441786"	9	2	2	4	5	5	1	1	9	4	1	5	4	9	1	9	8	5	8	1	2	4	1	8	2
"AF464177"	6	8	7	7	1	4	5	3	2	6	7	2	1	6	7	8	1	9	2	3	6	8	9	9	6
"AF510652"	2	6	1	1	4	9	7	2	4	5	5	3	8	8	5	3	2	7	9	8	7	1	7	4	9
"AI509818"	9	3	8	6	7	5	1	9	5	2	1	5	7	9	1	9	4	2	3	4	4	5	4	2	7
"AI840334"	9	3	8	6	7	5	1	9	5	2	1	5	7	9	1	9	4	2	3	4	4	4	4	8	7
"AJ278768"	1	4	4	8	6	3	4	4	8	8	4	9	2	2	2	6	9	8	9	5	5	9	8	3	8
"AJ293727"	9	3	8	6	7	5	1	9	5	2	1	5	7	9	1	9	4	2	3	4	4	4	4	8	7
"AJ558021"	7	8	7	5	8	8	6	3	6	7	8	1	1	7	4	7	1	6	5	4	1	8	9	2	4
"AK002213"	6	9	6	7	1	4	9	5	2	1	2	2	5	4	7	8	6	1	2	3	9	6	5	6	6
"AK002217"	7	8	7	5	8	8	6	3	6	7	7	1	1	3	4	7	1	6	5	2	1	8	9	9	4
"AK002608"	7	8	7	7	8	8	6	3	6	6	6	2	1	9	4	9	1	6	5	2	6	4	9	8	6
"AK003142"	6	8	7	7	1	4	5	5	2	6	7	2	5	4	7	8	1	9	2	3	6	8	5	6	6
"AK003738"	4	9	6	9	9	7	9	6	1	1	2	7	3	9	6	5	5	1	1	9	9	4	2	8	1
"AK003760"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	6	2	7	1
"AK003941"	2	3	1	6	4	9	1	9	5	2	5	3	7	8	5	3	4	2	3	4	4	5	7	2	7
"AK004056"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	6	2	6	1
"AK004226.7"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	6	2	6	1
"AK004418"	4	9	6	9	9	7	9	6	1	1	2	7	3	4	6	5	5	1	1	9	9	4	2	6	1
"AK004568"	2	4	1	1	4	9	7	4	8	8	5	3	8	3	2	3	9	7	9	8	5	5	7	2	8
"AK004622"	8	4	3	8	6	3	4	4	8	8	3	4	2	1	9	6	3	8	9	7	3	5	8	3	8
"AK005150"	4	9	2	9	9	7	9	1	9	1	1	6	3	9	8	5	8	1	8	9	2	4	2	8	2
