"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	3	6	5	2	1	5	2	3	4	5	2	4	3	1	3	5	4	3	6	3
"A_51_P172409"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	1
"A_51_P188401"	2	1	6	3	6	2	5	4	3	1	5	1	5	5	1	3	5	1	1	4
"A_51_P191274"	1	6	4	5	1	6	6	1	2	6	2	4	3	3	5	4	6	2	6	1
"A_51_P226791"	5	5	3	3	6	3	5	4	3	3	5	2	5	5	1	3	5	5	1	5
"A_51_P277048"	2	4	6	4	5	2	3	6	6	1	4	1	4	4	5	6	2	1	3	1
"A_51_P305453"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_51_P326259"	2	1	4	1	3	2	1	6	6	6	1	1	6	2	6	2	1	2	2	4
"A_51_P327496"	1	6	4	5	1	6	6	1	5	6	2	4	3	3	3	4	6	2	6	1
"A_51_P350172"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"A_51_P426986"	4	4	5	2	1	4	2	2	2	5	4	4	4	1	5	6	2	3	6	1
"A_51_P515046"	4	4	5	2	1	4	2	2	2	5	4	4	4	4	5	6	2	3	3	3
"A_52_P1021224"	5	5	6	3	6	3	5	4	3	1	5	2	5	5	1	3	5	5	1	4
"A_52_P1053094"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P1053662"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P1101503"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P1173798"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P1197466"	1	3	4	5	1	6	6	1	5	6	2	6	3	3	2	4	6	2	6	1
"A_52_P13337"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P362072"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"A_52_P477386"	2	4	6	4	5	2	3	6	6	1	1	1	4	2	5	2	1	1	3	2
"A_52_P541760"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"A_52_P549754"	1	4	4	5	1	6	6	2	2	6	4	6	4	3	2	4	6	2	6	1
"A_52_P724603"	5	3	3	3	6	3	5	4	3	3	5	2	5	5	1	3	5	5	1	5
"A_52_P771912"	6	2	1	6	2	1	4	5	1	2	6	2	1	6	4	1	3	6	4	6
"A_52_P812870"	3	6	4	2	1	5	2	3	4	6	2	4	3	1	3	5	4	2	6	1
"A_52_P820445"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P852771"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P868798"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P956633"	4	4	4	4	5	4	3	2	2	6	4	3	4	4	5	6	2	4	3	1
"A_52_P981301"	4	4	2	4	5	4	3	2	2	1	4	3	4	4	5	6	2	4	3	3
"A_52_P988778"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"A_52_P996776"	4	4	4	4	5	4	3	2	2	6	4	3	4	4	5	6	2	4	3	1
"AA204140"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"AB008911"	1	5	3	3	4	3	6	4	5	1	5	6	2	5	2	4	5	5	1	4
"AB010313"	1	3	4	5	4	6	6	1	5	3	3	6	2	3	2	4	6	2	5	5
"AB010342"	1	1	4	5	3	6	6	1	5	6	3	6	2	3	2	4	6	2	5	1
"AB011473"	3	6	5	2	1	5	2	3	4	5	2	4	3	1	3	5	4	3	6	3
"AB099518"	3	6	5	2	1	5	2	3	4	5	2	4	3	1	3	5	4	3	6	3
"AF009414"	3	6	5	2	1	5	2	3	4	5	2	4	3	1	3	5	4	3	6	3
"AF012177"	5	5	1	3	6	3	5	4	3	2	6	2	5	5	1	3	5	5	1	6
"AF027185"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"AF039833"	2	1	6	4	3	2	3	6	6	4	1	1	6	2	6	2	1	1	2	2
"AF062752"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"AF064984"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	1
"AF065991"	5	5	1	3	6	3	5	4	3	2	5	2	5	5	1	3	5	5	1	6
"AF081193"	1	1	4	5	3	2	1	6	6	6	1	1	3	2	6	2	1	2	2	1
"AF097415"	4	4	2	4	5	4	3	2	2	5	4	3	4	4	5	6	2	4	3	1
"AF103797"	4	4	4	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"AF124721"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"AF127140.1"	3	6	5	2	1	4	2	2	4	5	2	4	3	1	3	6	2	3	6	3
"AF129738"	5	5	3	3	6	3	5	5	3	2	6	2	5	5	1	3	3	5	1	6
"AF139595"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
"AF180471"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"AF198092"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"AF210281"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"AF217545"	3	6	5	2	1	5	2	3	4	5	2	4	3	1	3	5	4	3	6	3
"AF223362"	2	4	6	4	5	4	3	6	2	1	4	3	4	4	5	6	2	1	3	2
"AF275549"	6	2	3	6	2	1	4	5	1	3	6	5	1	6	4	1	3	6	4	5
"AF346836"	6	2	3	3	2	1	4	5	1	3	6	5	1	5	4	1	3	5	4	5
"AF425084"	1	1	4	5	3	6	1	1	5	6	3	1	2	3	2	2	6	2	2	4
"AF441786"	3	6	4	2	1	5	2	3	4	5	2	4	3	1	3	5	4	3	6	1
"AF464177"	2	1	6	4	3	2	3	6	6	1	1	1	4	2	6	2	1	1	2	2
"AF510652"	5	3	3	3	4	3	5	4	5	3	3	6	2	5	2	3	5	5	5	5
"AI509818"	1	1	4	5	3	6	1	1	5	6	3	1	6	3	2	2	6	2	2	1
"AI840334"	1	3	4	5	4	6	6	1	5	6	3	6	2	3	2	4	6	2	5	1
"AJ278768"	5	5	3	3	6	3	5	4	3	3	5	2	5	5	1	3	5	5	1	6
"AJ293727"	1	1	4	5	3	6	1	1	6	6	1	1	6	3	6	2	6	2	2	1
"AJ558021"	2	1	6	1	3	2	1	6	6	1	1	1	2	2	2	2	1	1	2	4
"AK002213"	4	4	2	4	5	4	3	2	2	4	4	3	4	4	5	6	2	4	3	2
"AK002217"	2	1	6	1	3	2	1	6	6	1	1	1	6	2	6	2	1	1	2	4
