"" "Group" "Replicate" "Timepoint"
"GSM1557305" 165 "VH" 2 3
"GSM1557306" 166 "VH" 3 3
"GSM1557307" 167 "VL" 1 48
"GSM1557308" 168 "VL" 2 48
"GSM1557309" 169 "VL" 3 48
"GSM1557310" 170 "VH" 1 48
"GSM1557311" 171 "VH" 2 48
"GSM1557312" 172 "VH" 3 48
"GSM1557313" 173 "VL" 1 60
"GSM1557314" 174 "VL" 2 60
"GSM1557315" 175 "VL" 3 60
"GSM1557316" 176 "VH" 1 60
"GSM1557317" 177 "VH" 2 60
"GSM1557318" 178 "VH" 3 60
"GSM1557319" 179 "VL" 1 6
"GSM1557320" 180 "VL" 2 6
"GSM1557321" 181 "VL" 3 6
"GSM1557322" 182 "VH" 1 6
"GSM1557323" 183 "VH" 2 6
"GSM1557324" 184 "VH" 3 6
"GSM1557325" 185 "VL" 1 72
"GSM1557326" 186 "VL" 2 72
"GSM1557327" 187 "VL" 3 72
"GSM1557328" 188 "VH" 1 72
"GSM1557329" 189 "VH" 2 72
"GSM1557330" 190 "VH" 3 72
"GSM1557331" 191 "VL" 1 9
"GSM1557332" 192 "VL" 2 9
"GSM1557333" 193 "VL" 3 9
"GSM1557334" 194 "VH" 1 9
"GSM1557335" 195 "VH" 2 9
"GSM1557336" 196 "VH" 3 9
"GSM1557337" 197 "VL" 1 120
"GSM1557338" 198 "VL" 2 120
"GSM1557339" 199 "VL" 3 120
"GSM1557340" 200 "VH" 1 120
"GSM1557341" 201 "VH" 2 120
"GSM1557342" 202 "VH" 3 120
"GSM1557343" 203 "VL" 1 168
"GSM1557344" 204 "VL" 2 168
"GSM1557345" 205 "VL" 3 168
"GSM1557346" 206 "VH" 1 168
"GSM1557347" 207 "VH" 2 168
"GSM1557348" 208 "VH" 3 168
